id_producto,categoria,subcategoria,precio,nivel_novedad,popularidad,sostenibilidad
P001,Hogar,Cocina,42.72,80.3,58.6,56.4
P002,Deporte,Yoga,18.81,92.9,29.2,80.9
P003,Hogar,Organización,30.92,44.0,49.7,42.3
P004,Bienestar,Salud,61.86,75.7,64.7,51.2
P005,Tecnología,Accesorios,71.84,57.0,52.7,77.0
P006,Hogar,Decoración,146.59,92.3,48.7,95.0
P007,Hogar,Decoración,28.32,65.0,70.4,41.8
P008,Hogar,Organización,41.72,57.7,41.3,57.9
P009,Bienestar,Personal,63.58,66.4,63.8,84.3
P010,Tecnología,Accesorios,73.59,33.1,45.5,39.3
P011,Deporte,Fitness,125.85,59.1,44.2,73.1
P012,Bienestar,Salud,27.98,23.7,87.6,56.2
P013,Deporte,Running,251.0,87.3,44.5,38.2
P014,Moda,Calzado,64.8,53.1,25.5,75.2
P015,Hogar,Organización,231.64,47.2,98.0,58.1
P016,Hogar,Iluminación,136.27,37.5,53.4,78.8
P017,Tecnología,Wearables,33.69,86.5,46.7,75.0
P018,Bienestar,Salud,48.21,89.8,79.1,63.0
P019,Tecnología,Audio,15.42,36.7,52.9,92.4
P020,Tecnología,Smartphone,35.33,90.4,57.3,48.8
P021,Deporte,Running,67.24,59.3,62.0,98.7
P022,Deporte,Fitness,50.23,56.6,72.6,44.3
P023,Tecnología,Audio,33.46,25.1,72.7,97.0
P024,Bienestar,Cuidado,53.86,99.2,90.0,91.0
P025,Hogar,Cocina,45.88,93.0,87.7,68.1
P026,Hogar,Organización,41.54,91.2,66.3,93.1
P027,Bienestar,Relajación,89.45,82.7,89.4,71.7
P028,Moda,Calzado,22.92,64.9,84.2,54.5
P029,Tecnología,Wearables,141.47,45.8,55.2,99.3
P030,Deporte,Outdoor,72.68,68.2,82.0,43.1
P031,Moda,Casual,102.61,22.4,100.0,57.8
P032,Bienestar,Salud,66.3,75.6,56.4,84.0
P033,Tecnología,Smartphone,60.25,65.9,66.3,47.0
P034,Moda,Casual,23.69,31.1,20.6,72.0
P035,Bienestar,Relajación,527.94,25.9,72.0,39.7
P036,Bienestar,Cuidado,128.57,61.75,77.5,36.8
P037,Deporte,Fitness,72.3,23.3,69.7,75.5
P038,Hogar,Iluminación,114.48,54.0,73.3,39.8
P039,Deporte,Running,68.64,50.2,81.9,97.0
P040,Bienestar,Relajación,36.57,61.7,51.1,54.0
P041,Hogar,Organización,37.84,60.0,48.6,83.0
P042,Tecnología,Audio,236.11,84.7,77.5,35.4
P043,Deporte,Fitness,68.13,76.6,75.2,76.3
P044,Bienestar,Personal,145.64,50.5,56.1,48.8
P045,Hogar,Organización,139.66,43.4,70.7,61.4
P046,Hogar,Decoración,67.12,37.2,61.1,72.4
P047,Deporte,Outdoor,73.72,61.0,82.0,70.1
P048,Deporte,Fitness,49.83,27.6,77.1,49.5
P049,Tecnología,Smartphone,84.5,40.3,71.9,36.2
P050,Moda,Urbana,151.04,71.8,54.5,92.4
P051,Hogar,Iluminación,166.1,36.7,46.2,46.4
P052,Hogar,Decoración,29.31,51.0,77.6,92.7
P053,Moda,Casual,62.26,56.5,100.0,90.3
P054,Tecnología,Accesorios,37.37,92.4,67.9,36.3
P055,Deporte,Fitness,205.28,52.0,44.3,90.3
P056,Hogar,Iluminación,79.0,99.1,96.6,40.3
P057,Moda,Urbana,935.3421510124076,28.2,92.4,75.8
P058,Tecnología,Wearables,80.04,99.9,90.8,60.1
P059,Bienestar,Cuidado,49.04,49.4,59.7,69.1
P060,Moda,Urbana,301.83,89.4,58.4,36.3
P061,Tecnología,Smartphone,188.11,88.6,56.0,69.9
P062,Moda,Calzado,101.89,48.3,56.5,91.8
P063,Bienestar,Personal,40.53,57.7,68.4,83.1
P064,Deporte,Outdoor,63.47,48.9,61.6,88.3
P065,Moda,Urbana,93.07,97.6,66.3,91.2
P066,Hogar,Decoración,60.98,58.3,71.9,65.5
P067,Moda,Accesorios,41.31,94.7,59.5,69.8
P068,Tecnología,Accesorios,72.2,52.8,40.7,95.0
P069,Bienestar,Salud,57.03,51.7,46.1,94.6
P070,Deporte,Yoga,24.29,42.5,63.8,43.6
P071,Tecnología,Accesorios,24.44,69.9,67.6,98.6
P072,Deporte,Running,88.73,38.4,37.8,78.2
P073,Deporte,Outdoor,81.45,94.5,61.1,63.7
P074,Tecnología,Wearables,124.38,76.3,73.5,37.5
P075,Tecnología,Audio,191.43,51.1,80.1,95.9
P076,Deporte,Running,25.37,98.7,72.8,55.0
P077,Moda,Calzado,45.89,93.9,81.6,89.7
P078,Hogar,Iluminación,24.15,41.0,76.2,71.6
P079,Deporte,Fitness,269.19,90.7,66.0,75.7
P080,Hogar,Cocina,73.79,34.5,61.0,68.6
P081,Deporte,Outdoor,26.79,76.3,76.6,45.6
P082,Bienestar,Salud,85.16,49.5,47.1,41.5
P083,Moda,Casual,36.59,86.1,77.2,47.6
P084,Bienestar,Personal,144.04,37.6,34.8,92.9
P085,Moda,Calzado,47.98,41.5,89.6,79.2
P086,Bienestar,Personal,62.13,92.7,67.5,75.3
