id_usuario,edad,antiguedad_meses,sesiones_mes,minutos_promedio_sesion,productos_vistos,productos_favoritos,compras_ultimos_6m,gasto_promedio,descuento_utilizado,interacciones_recomendaciones,dias_desde_ultima_compra,satisfaccion,canal_preferido,categoria_favorita,dispositivo_principal,realizara_compra_30d
1001,38,16,13,32.4,31,3.0,5,38.9,7.1,10,21,9.4,App,Tecnología,Android,1
1002,24,29,14,36.2,37,4.0,3,125.21,20.2,5,44,8.6,App,Deporte,Android,0
1003,43,20,14,23.0,35,4.0,3,51.44,38.8,10,23,6.2,Web,Tecnología,Android,0
1004,45,44,10,28.1,44,7.0,3,71.44,32.3,3,52,7.0,App,Moda,Android,0
1005,18,8,7,10.4,39,8.0,5,216.19,56.2,5,43,4.5,App,Hogar,Android,0
1006,21,33,4,25.4,43,4.0,3,106.16,9.4,5,35,8.6,Web,Tecnología,iOS,0
1007,36,24,18,13.4,34,6.0,3,23.01,46.2,7,73,5.5,Web,Deporte,Android,0
1008,32,13,13,21.5,34,4.0,2,166.03,53.8,11,19,6.5,App,Deporte,iOS,0
1009,35,29,14,46.2,42,3.0,9,81.43,39.9,4,13,6.9,App,Tecnología,Android,1
1010,26,12,12,24.4,26,0.0,1,91.89,27.9,9,25,5.4,Web,Tecnología,iOS,0
1011,45,21,11,15.1,45,8.0,3,88.66,34.9,2,40,6.1,Tablet,Moda,Android,0
1012,44,6,11,25.3,33,5.0,1,123.94,31.6,8,137,7.8,App,Tecnología,iOS,0
1013,36,2,10,17.9,29,7.0,1,71.78,29.9,6,22,6.6,App,Tecnología,Android,0
1014,47,15,11,14.3,34,5.0,4,33.2,43.2,8,5,8.5,Web,Bienestar,iOS,0
1015,40,15,12,38.8,38,6.0,2,89.61,41.3,4,17,8.3,App,Hogar,Android,0
1016,26,16,14,30.5,35,1.0,4,35.07,35.2,5,21,6.1,Tablet,Bienestar,iOS,0
1017,39,34,14,24.8,37,3.0,1,203.69,5.0,5,42,6.7,App,Hogar,Android,0
1018,24,40,9,18.9,29,2.0,3,61.46,16.3,12,53,6.7,App,Bienestar,Web,0
1019,45,26,13,19.5,30,3.0,1,72.9,24.6,4,11,6.7,App,Hogar,iOS,1
1020,34,33,7,34.3,31,5.0,4,51.71,13.4,5,45,9.4,Web,Moda,iOS,0
1021,33,12,12,24.5,31,6.0,4,90.38,48.0,8,6,7.6,App,Bienestar,Android,0
1022,28,10,11,3.0,33,7.0,4,96.29,31.4,7,15,5.0,App,Hogar,iOS,1
1023,48,30,8,41.4,36,2.0,6,51.64,21.4,9,59,6.4,App,Tecnología,Web,0
1024,33,9,12,23.5,35,9.0,4,96.22,57.6,12,78,6.7,App,Hogar,Web,0
1025,30,8,8,24.7,35,3.0,4,77.85,20.6,9,60,7.9,Web,Moda,iOS,0
1026,31,96,14,30.7,34,6.0,5,71.15,26.4,9,26,9.8,Tablet,Deporte,Android,1
1027,41,22,10,25.7,38,2.0,1,49.61,34.8,5,19,8.4,Web,Moda,Android,0
1028,39,15,16,28.0,35,4.0,2,267.84,17.2,14,65,7.2,App,Tecnología,Android,1
1029,40,14,15,18.6,31,7.0,5,143.74,12.2,9,17,6.1,App,Tecnología,iOS,1
1030,40,7,13,12.2,27,8.0,1,111.95,2.4,10,46,9.3,App,Tecnología,Android,0
1031,59,26,8,24.2,26,3.0,5,139.36,35.4,2,23,6.9,Tablet,Tecnología,Android,1
1032,31,17,14,33.5,42,4.0,0,88.45,31.1,12,43,5.3,Tablet,Hogar,Android,0
1033,29,39,11,16.8,23,8.0,3,61.89,35.4,5,10,7.8,App,Hogar,Android,1
1034,26,30,9,16.2,37,5.0,3,17.53,23.3,6,82,5.6,App,Tecnología,iOS,0
1035,42,17,8,31.8,36,4.0,4,38.36,5.4,4,12,8.2,App,Tecnología,iOS,0
1036,47,4,7,18.3,36,9.0,6,73.03999999999999,39.9,9,16,6.7,Web,Deporte,Android,0
1037,34,23,10,18.7,41,5.0,3,141.97,15.2,5,37,6.9,App,Moda,Android,0
1038,26,21,11,19.0,35,5.0,3,83.83,13.4,6,74,3.5,App,Bienestar,iOS,0
1039,26,3,12,21.5,35,2.0,2,31.5,10.3,6,14,8.8,Web,Tecnología,Android,1
1040,42,28,9,9.4,31,6.0,7,106.34,60.4,7,27,5.6,App,Moda,iOS,0
1041,43,9,6,17.7,24,7.0,3,64.36,17.1,7,32,6.3,App,Deporte,iOS,0
1042,41,40,13,23.8,39,8.0,4,110.1,49.3,6,60,7.6,App,Bienestar,iOS,0
1043,28,20,8,23.8,30,5.0,9,40.69,4.1,8,13,7.1,App,Moda,Web,1
1044,38,14,15,31.3,39,3.0,1,57.28,48.6,8,49,10.0,App,Tecnología,Android,0
1045,36,25,21,36.7,27,2.0,6,122.03,66.8,10,69,4.9,App,Tecnología,iOS,0
1046,37,24,11,34.1,37,5.0,5,216.54,31.2,6,39,6.8,App,Deporte,Android,1
1047,45,23,9,29.3,38,8.0,5,52.21,19.9,8,9,8.4,App,Moda,iOS,0
1048,37,37,18,20.8,48,6.0,2,73.03999999999999,53.7,9,52,6.7,Web,Tecnología,iOS,0
1049,42,26,7,17.0,28,6.0,4,131.64,12.4,4,72,7.3,App,Deporte,Android,0
1050,36,13,7,22.1,28,4.0,7,37.51,13.1,7,26,10.0,Web,Tecnología,iOS,0
1051,38,18,14,26.7,43,8.0,4,39.02,7.1,12,11,7.4,App,Bienestar,Web,1
1052,42,50,16,28.6,28,6.0,3,86.81,26.6,11,40,9.3,Tablet,Bienestar,Android,0
1053,19,12,15,27.0,40,5.0,3,236.18,21.7,17,31,8.2,Web,Bienestar,Web,0
