id_usuario,id_producto,categoria,subcategoria,precio,nivel_novedad,popularidad,tipo_interaccion,valoracion,tiempo_interaccion_seg,compra,peso
2533,P397,Hogar,Cocina,233.17,49.3,97.1,click,0.0,69.4,0,2
2887,P278,Hogar,Cocina,93.18,66.7,46.1,click,0.0,91.6,0,2
1146,P494,Moda,Casual,229.78,63.9,59.8,click,0.0,36.3,0,2
1228,P119,Deporte,Fitness,170.5,99.3,94.2,vista,1.0,296.4,0,1
2149,P117,Deporte,Yoga,90.89,28.9,79.7,click,0.0,299.2,0,2
1866,P483,Hogar,Cocina,67.0,76.1,48.1,favorito,4.0,34.3,0,3
2189,P285,Bienestar,Personal,61.19,83.1,56.6,vista,0.0,152.8,0,1
1086,P035,Bienestar,Relajación,527.94,25.9,72.0,vista,0.0,16.6,0,1
2100,P047,Deporte,Outdoor,73.72,61.0,82.0,click,0.0,93.5,0,2
2557,P324,Tecnología,Smartphone,517.75,97.9,72.3,vista,0.0,49.6,0,1
1911,P148,Hogar,Decoración,73.82,71.4,83.6,favorito,2.0,111.4,0,3
1548,P349,Hogar,Cocina,83.84,39.7,89.2,click,1.0,86.3,0,2
2002,P192,Hogar,Cocina,24.97,73.2,83.4,vista,0.0,105.9,0,1
2483,P356,Hogar,Organización,58.21,72.2,70.6,vista,0.0,23.0,0,1
1665,P256,Bienestar,Salud,144.52,59.0,57.4,vista,0.0,119.0,0,1
1685,P256,Bienestar,Salud,144.52,59.0,57.4,vista,0.0,79.5,0,1
2035,P155,Bienestar,Salud,185.64,47.1,68.5,vista,2.0,586.4,0,1
1759,P325,Bienestar,Salud,75.97,63.0,62.5,vista,0.0,38.8,0,1
1516,P259,Moda,Casual,138.65,79.7,23.8,vista,4.0,31.9,0,1
2555,P406,Hogar,Iluminación,88.26,36.5,65.5,vista,5.0,117.8,0,1
1454,P123,Hogar,Iluminación,49.52,66.6,39.0,vista,2.0,101.7,0,1
1151,P159,Bienestar,Salud,105.42,66.6,66.1,vista,5.0,22.4,0,1
2515,P308,Tecnología,Accesorios,87.81,86.8,67.0,vista,5.0,120.0,0,1
2079,P052,Hogar,Decoración,29.31,51.0,77.6,click,0.0,30.1,0,2
2862,P486,Deporte,Yoga,115.98,67.9,64.8,vista,0.0,154.6,0,1
2130,P391,Hogar,Decoración,109.49,94.4,72.2,click,0.0,24.5,0,2
1263,P240,Hogar,Decoración,130.87,77.7,39.0,favorito,0.0,263.6,0,3
2517,P304,Bienestar,Salud,32.95,95.2,68.9,vista,0.0,83.1,0,1
2310,P268,Hogar,Cocina,52.37,32.4,91.9,favorito,5.0,16.6,0,3
2480,P246,Moda,Accesorios,35.24,51.5,52.4,click,1.0,34.2,0,2
