id_usuario,frecuencia_sesiones,tiempo_plataforma,diversidad_categorias,compras_mensuales,gasto_mensual,sensibilidad_descuento,interaccion_recomendaciones,productos_guardados,resenas_realizadas,devoluciones,exploracion_novedades,fidelidad,grupo
1001,25.2,342.4,1,6.449999999999999,249.424,51.4,3.0,6,0,0.0,97.4,64.44,1
1002,19.8,249.4,2,2.2,164.02399999999997,45.9,5.0,6,3,0.0,91.0,64.55999999999999,1
1003,5.6,313.1,1,1.0499999999999998,130.824,92.9,9.0,8,1,2.5,32.0,38.805,2
1004,27.0,267.3,1,2.2,301.84,27.6,12.0,10,3,2.0,40.1,81.0,1
1005,16.323657319197142,252.4,2,3.0,132.18,89.29185705915647,12.0,5,2,0.0,88.2,68.2,1
1006,19.927141257729108,234.2,4,1.0,210.19,81.72444311617913,11.0,3,2,0.0,67.0,67.0,1
1007,4.199999999999999,450.3,4,0.35,22.032,92.9,4.0,9,3,0.0,0.5,50.05,2
1008,17.0,325.5,4,1.0,56.23,3.1,31.990286109891574,8,1,1.0,88.72067555584412,68.4,0
1009,27.018554588127028,221.0,2,1.0,131.82,86.25330176676943,11.0,6,0,1.0,68.3,87.7,1
1010,4.9,293.0,4,0.35,6.700500000000001,88.8,6.0,3,2,0.0,34.4,25.61,2
1011,18.23771421907994,296.9,5,5.0,487.16,99.37074525374422,7.0,5,4,1.0,48.8,94.7,1
1012,27.0,199.2,5,2.2,465.864,60.1,9.0,4,2,0.0,4.2,70.67999999999999,1
1013,23.4,378.4,3,4.4,336.84,40.6,13.0,3,3,0.0,25.0,110.04,1
1014,4.199999999999999,537.7,3,0.35,79.51950000000001,19.3,7.0,5,0,1.0,56.9,30.485,2
1015,9.0,244.2,5,4.0,198.71,86.6,15.687213321335973,5,3,0.0,76.50031831956514,25.4,0
1016,16.0,414.7,5,2.0,160.85,51.1,17.517964957789978,6,5,0.0,92.92222325449237,47.8,0
1017,16.0,251.0,5,0.0,221.13,56.4,24.393531907491955,7,4,0.0,85.5730381670796,95.7,0
1018,22.98020772706219,299.9,2,2.0,276.99,93.6697013532152,11.0,8,0,1.0,13.3,57.7,1
1019,22.0,219.1,4,4.0,402.33,57.5,22.728094926356743,4,5,0.0,95.12539939983,79.3,0
1020,7.0,310.0,5,1.0,75.33,12.7,20.46672346897692,4,1,0.0,76.3314839338702,70.7,0
1021,29.27241270495117,731.5,4,0.0,57.65,95.21555144719886,20.0,4,1,1.0,7.3,31.3,1
1022,3.5,136.7,3,0.35,25.9065,45.1,6.0,6,4,1.0,39.0,60.84,2
1023,28.8,265.5,2,2.2,416.08,96.5,10.0,5,1,1.0,81.2,67.67999999999999,1
1024,21.6,101.4,5,2.2,110.208,35.3,15.0,5,3,1.0,46.6,115.56,1
1025,4.199999999999999,187.3,2,0.35,23.4585,46.4,16.0,8,0,0.0,4.4,25.61,2
1026,2.8,292.4,4,0.7,82.2645,1.8,10.0,2,3,0.0,61.4,15.015,2
1027,23.4,585.4,1,0.0,264.796,1.5,4.0,5,2,0.0,30.0,83.52,1
1028,16.2,180.9,4,4.4,330.568,67.0,7.0,7,3,1.0,7.0,99.6,1
1029,16.0,478.4,5,4.0,366.64,0.3,31.990286109891574,5,0,0.0,92.74449371677188,45.8,0
1030,17.030927174740413,342.8,5,2.0,249.92,80.31401325334343,10.0,3,4,0.0,17.1,69.7,1
1031,12.0,279.0,4,4.0,151.25,97.0,17.194194590527964,9,2,0.0,89.81105955774186,35.4,0
1032,12.19944982216565,458.5,4,0.0,65.35,97.67310172847112,8.0,9,2,0.0,37.4,67.1,2
1033,18.0,202.3,1,4.4,319.172,81.1,16.0,3,0,0.0,37.6,41.76,1
1034,4.9,180.1,4,0.7,32.8725,84.9,9.0,6,0,2.0,35.2,54.33,2
1035,3.5,497.7,1,0.35,48.6315,13.2,10.0,11,1,0.0,21.4,26.130000000000003,2
1036,18.0,304.8,5,0.0,70.31,81.4,26.02925243001648,5,1,2.0,96.10384983822988,60.0,0
1037,17.0,302.4,4,3.0,134.96,86.3,15.686996961812971,6,1,0.0,99.24748055517476,82.8,0
1038,3.15,321.4,2,0.0,46.863,37.2,6.0,9,4,0.0,88.6,33.865,2
1039,24.665331532490185,596.3,5,3.0,69.78,90.3183369802784,12.0,8,3,1.0,77.7,47.0,1
1040,30.6,309.4,3,6.449999999999999,157.416,26.7,16.0,7,3,0.0,64.7,82.8,1
1041,27.0,287.9,2,6.449999999999999,493.1949375,57.5,9.0,9,0,1.0,95.9,111.71999999999998,1
1042,20.370369852539667,202.5,5,2.0,79.75,77.72403830914124,10.0,4,1,2.5,88.1,98.6,0
1043,34.2,753.0875000000001,1,2.2,493.1949375,12.1,5.0,3,2,1.0,49.5,51.24,1
1044,32.4,108.1,3,6.449999999999999,327.26399999999995,93.1,4.0,5,1,0.0,75.0,85.8,1
1045,4.55,330.0,4,1.0499999999999998,60.543,93.9,18.0,10,2,0.0,8.8,64.87,2
1046,15.0,306.9,4,3.0,135.82,94.8,17.32489997026228,11,2,0.0,92.66533704525548,72.9,0
1047,21.018550313320503,209.3,4,1.0,104.25,83.797419556195,7.0,5,1,2.5,98.7,25.2,2
1048,16.0,367.4,5,2.0,125.52,25.1,31.645206112347623,8,0,2.0,99.05140247516364,72.6,0
1049,12.13546525474438,458.5,1,3.0,180.5,99.90656227902456,10.0,6,2,2.5,44.6,29.7,2
1050,6.3,161.7,2,1.4,24.7545,66.2,8.0,8,1,1.0,85.2,56.48500000000001,2
1051,8.0,343.4,4,1.0,111.59,87.5,15.019191579210256,7,2,2.0,95.55141792729478,65.0,0
1052,24.926979465625784,556.8,4,2.0,128.48,92.46215285237196,10.0,6,4,0.0,72.9,88.9,1
1053,8.0,360.8,5,0.0,193.26,27.8,20.75686331693879,5,1,0.0,90.89645551779354,77.9,0
1054,13.794993739243932,305.05,3,1.0,96.24,86.26512362632671,11.0,5,2,1.0,16.8,40.9,2
1055,14.4,335.3,5,4.4,308.84,43.9,16.0,2,3,0.0,47.8,99.0,1
